4node;3node;2node;1node
199,62253588182483;211,61453406474547;214,74515860176862;230,87470889353042
196,193013966832;208,10880391767847;217,2054972981064;231,3069898671201
198,828280561446;208,23424664186953;217,62655203120408;231,604575387173
198,25886952317407;212,42765068079072;217,58574189697845;231,97034436102987
199,59612442179247;208,91930247766106;217,7578529110182;232,1828044891982
196,03875481033714;208,9734463797483;217,84918295860166;232,58204963741414
198,2960821691569;213,01746851725582;216,8436974578644;231,5999617386387
195,69668090693867;209,74520496421837;219,21919897960933;232,03341805885918
200,68789991864813;209,96409408374026;221,15643622553017;232,4330367327336
196,98601199897075;213,76342062009795;219,5856411090928;232,77842521991292
199,08243636975374;210,8094771385249;218,66728118312005;233,14871454969997
201,56554749741144;210,4831708083861;219,75883293048778;233,4474291101494
201,84870206891773;213,77354576702788;218,99387478529883;232,54283632840085
198,32252656260764;210,86835406680024;220,0945373772815;232,8320386080807
198,9302566327101;210,72851671807092;221,45141374545923;233,1277719434057
199,96475622129557;213,81405182278175;220,35530159916797;233,43108433015152
202,33135275098252;210,34054969651035;218,1348067349988;233,80366448707488
199,06286907224583;211,23171042052988;220,85663556525807;234,1685098301319
201,8809807306472;214,41852656358404;223,44481888909667;233,20000313084205
198,72472251143984;211,93377315759906;221,87605683408503;233,49496177254613
202,88107954737612;211,60957460816476;218,50285030493725;233,8431030597503
199,83839969363996;214,7073875159488;221,52784421412937;234,13324641684403
202,19047491171645;211,52086191212422;223,19123232965504;234,31398707861615
199,10248266880149;212,34216483931976;221,72252720703483;234,54977367132759
203,21553290653597;214,62616298266605;219,66071556362576;234,75696865251956
200,33541190333446;211,61663706396013;222,0552109453126;233,96669254357343
202,28012836310577;212,95808338688113;222,34930644667585;234,31081167728044
203,92727106995508;214,84062962372658;222,49775097800568;234,5157187005893
203,73504190915094;212,48564734665325;222,77638750912726;234,7152676055572
200,97172130630508;212,7941515622004;222,6640780184819;234,97620595049585
202,63278986252516;215,52635242189922;221,94214034218655;235,23914220570524
204,2268592665534;213,4288280212687;222,50740351226128;234,50206526712333
203,28640757555098;213,23666950292565;222,7668772925593;234,80444822192962
200,74933151415473;215,54066005117798;222,58743615437453;235,0413437067605
202,69279718608516;213,46163402764063;223,70632952075562;235,22457354850062
201,0064386551931;213,4548228966056;223,15079470925653;235,38039942989812
203,80464219977958;215,46041697196628;222,38956534209453;235,5763217886247
201,37126227900478;212,9109645412693;222,5920891541831;234,847778801104
203,19663629482426;213,56684020905004;224,4330506689612;235,1017174385151
201,2807713965278;215,9759739513036;223,42127964687478;235,22755230484097
203,6130343977709;213,77107281139828;222,39814736566944;235,4409308441287
201,29657865029347;213,811359606303;223,13313123766028;235,661090803998
203,10952918414642;215,98001782332997;221,7149037889826;235,88018350640078
204,2216452761976;213,6056001864448;223,48261291956516;234,89946509354368
204,43192507573377;214,12379282945716;222,9139568389767;232,38356943401965
202,23407850483716;215,98649586820596;223,79969296055958;229,92700473663515
203,0585025359502;214,23314779391043;223,78172073587228;227,5227793895627
201,6101198446903;214,39158460588095;223,69627715258758;224,40452534596585
204,20124727775269;216,14616845121878;222,14934523411628;222,11320896943144
202,05742630929447;214,3380334459374;220,6359647114612;219,86858994437154
203,19170101551902;215,1112785719866;216,98535331599393;217,668417375325
201,7721570105321;214,9338008654947;214,84231355345034;214,81188243394783
204,13453726465607;212,80435611142153;212,74081154747225;212,7108631073784
202,00923811884496;210,07289208747682;210,0085676027004;210,6511034479695
203,3796439866593;208,06365818191938;209,31715774506202;NaN
205,25935149768603;206,0918205582045;206,03181442076402;NaN
203,70692291507007;204,1577269411381;205,36773746966693;NaN
201,81592116312132;201,64223840576997;202,82314816311484;NaN
199,96151913372296;199,7899108468283;200,33945930061577;NaN
197,548283735151;197,97181009935068;NaN;NaN
195,7708436889652;195,60527826416063;NaN;NaN
194,02517758568075;193,86247769584256;NaN;NaN
192,31054963146767;NaN;NaN;NaN
190,07677699806905;NaN;NaN;NaN
188,4304057834716;NaN;NaN;NaN
186,81272793692588;NaN;NaN;NaN
185,22149589471357;NaN;NaN;NaN
